#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__water_water	MSD__water_Na	MSD__water_Cl	MSD__water_COO	MSD__Na_Na	MSD__Na_Cl	MSD__Na_COO	MSD__Cl_Cl	MSD__Cl_COO	MSD__COO_COO	
 2000 2587.94 -139.262 -195.117 -198.807 37.5981 2.13491 -9.48844 33.2986 0.178595 100.281
 4000 4423.65 -231.655 -366.647 -324.356 58.3898 5.60516 -12.8265 61.3821 -2.65828 164.554
 6000 6145.86 -322.774 -536.076 -446.338 78.339 9.2964 -15.7022 88.7552 -5.57844 226.05
 8000 7834.15 -415.749 -706.382 -564.61 98.5919 12.9554 -18.3751 116.246 -8.52615 286.301
 10000 9503.31 -507.969 -875.732 -688.428 118.838 16.6223 -21.1692 143.563 -11.0314 347.598
 12000 11193.2 -601.007 -1047.6 -814.313 139.1 20.3375 -24.0837 171.165 -13.0664 408.906
 14000 12857.5 -692.728 -1218.1 -938.45 159.166 24.0756 -26.8642 198.277 -14.9307 469.318
 16000 14521.5 -785.514 -1386.7 -1063.91 179.443 27.7766 -29.665 225.202 -16.9735 529.336
 18000 16152.3 -877.093 -1551.81 -1184.74 199.216 31.5638 -32.5616 251.581 -19.2971 589.004
 20000 17802.3 -969.148 -1716.95 -1313.44 219.232 35.2729 -35.2072 277.726 -20.9267 649.63
 20000 17965.1 -975.128 -1732.73 -1329.65 219 34.4818 -32.5698 279.978 -18.3008 645.578
 40000 34378.2 -1883.98 -3383.11 -2629.88 416.766 70.5427 -57.2935 543.085 -36.8886 1263.76
 60000 50411.6 -2767.43 -5002.25 -3908.88 606.458 108.215 -82.9924 805.129 -64.5927 1892.79
 80000 66800.9 -3670.38 -6661.33 -5174.2 801.631 143.837 -108.169 1075.76 -97.2274 2530.84
 100000 82832.1 -4510.4 -8302.36 -6471.26 986.095 178.149 -136.233 1347.41 -132.731 3188.77
 120000 99255.4 -5366.51 -9952.53 -7852.82 1172.45 212.491 -160.138 1615.2 -158.896 3851.16
 140000 115414 -6203.65 -11556.2 -9278.77 1358.25 240.121 -175.433 1881.2 -189.041 4533.97
 160000 131823 -7055.41 -13167.9 -10743.2 1547.42 265.69 -188.037 2149.42 -220.55 5231.66
 180000 147970 -7871.44 -14804 -12127.6 1727.95 291.321 -199.764 2426.13 -258.291 5907.79
 200000 164055 -8644.48 -16441.6 -13524.8 1905 312.761 -213.109 2700.67 -287.786 6571.55
 200000 166841 -8666.69 -16536.7 -14421.3 1912.02 278.589 -122.054 2727.71 -254.794 6690.49
 400000 335187 -16729.9 -33908.9 -28837.9 3660.77 538.502 -170.632 5605.68 -503.613 13286.3
 600000 487327 -24349.1 -49437.7 -41319 5278.82 696.346 15.3597 8370.72 -1102.44 19505.1
 800000 661357 -32080.9 -68283.6 -55045.1 6786.72 1004.59 51.3562 11504.5 -1416.39 25854.3
 1e+06 843091 -40645.4 -87259.8 -70327.9 8425.9 1377.86 93.2487 14470.1 -1386.84 31993.1
 1.2e+06 1.02649e+06 -49557.7 -104904 -88749.9 9971.96 1728.86 492.102 17166.8 -1238.9 38521.9
 1.4e+06 1.21469e+06 -57786.1 -123270 -108750 11499.7 2006.74 807.818 19909 -775.029 45141.4
 1.6e+06 1.41217e+06 -66594.5 -142463 -129283 13112 2319.02 1120.22 22687.3 -138.113 51540.2
 1.8e+06 1.5959e+06 -75125.6 -159704 -149340 14742.5 2585.92 1424.93 25220.1 351.128 58083.7
 2e+06 1.7929e+06 -84706.1 -178633 -169318 16574.7 2870.11 1812.38 27970.8 987.94 64166.5
 2e+06 1.89395e+06 -102562 -181256 -176045 16883 5232.34 2961.78 26268.4 2402.83 61698.9
 4e+06 3.9401e+06 -187704 -397314 -358855 39035.5 7455.49 -2055.03 59606.8 6774.04 133833
 6e+06 5.92987e+06 -270110 -601798 -549476 62613.9 8420.13 -7528.45 89325.3 17117 195191
 8e+06 7.92383e+06 -380994 -784253 -752507 91094.3 11509.1 -14270.7 114489 26242.4 267268
 1e+07 9.78174e+06 -506137 -945894 -926222 123079 15921 -23904.9 138442 27733.1 349655
 1.2e+07 1.14278e+07 -624145 -1.04555e+06 -1.17466e+06 157757 17033.2 -32602.2 150997 36470.4 443951
 1.4e+07 1.35004e+07 -771945 -1.16937e+06 -1.49172e+06 200563 18683.3 -43262.6 164668 51552.7 553838
 1.6e+07 1.55005e+07 -957842 -1.30417e+06 -1.69138e+06 249132 23824 -55861.5 181075 58846.2 637603
 1.8e+07 1.74972e+07 -1.17409e+06 -1.44197e+06 -1.83777e+06 303044 32717.5 -73313.5 195709 65988 707878
 2e+07 1.93047e+07 -1.3642e+06 -1.51395e+06 -2.1079e+06 360224 36908.8 -95174.3 197896 83834.3 809800
 2e+07 1.88547e+07 -1.43095e+06 -1.00824e+06 -3.03176e+06 243295 57251.8 65679.2 90865 104022 883093
 4e+07 2.31673e+07 -1.84973e+06 -1.61927e+06 -2.67434e+06 712326 37978.8 -451336 201865 114699 1.52864e+06
 6e+07 3.78852e+07 -1.01042e+06 -2.90495e+06 -6.85598e+06 999715 -143734 -816980 375954 502978 2.87614e+06
