#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__water_water	MSD__water_Na	MSD__water_Cl	MSD__water_COO	MSD__Na_Na	MSD__Na_Cl	MSD__Na_COO	MSD__Cl_Cl	MSD__Cl_COO	MSD__COO_COO	
 2000 2945.05 -159.458 -233.259 -173.048 27.9208 5.88321 3.27009 38.2499 -6.7854 81.0811
 4000 4816.04 -255.15 -407.778 -298.33 48.3334 9.74692 0.782538 66.5438 -9.57157 142.899
 6000 6560.65 -348.349 -581.326 -418.63 68.3779 13.6348 -1.78519 94.3714 -12.0633 202.777
 8000 8282.5 -441.278 -757.825 -541.716 88.4741 17.5788 -4.3685 122.626 -14.3251 262.794
 10000 9981.24 -535.677 -932.344 -659.872 108.601 21.5543 -6.8658 150.693 -17.208 321.994
 12000 11659.6 -629.105 -1104.61 -780.603 128.77 25.4091 -9.36835 178.425 -19.7258 380.982
 14000 13321.7 -721.283 -1275.71 -900.757 148.876 29.1597 -12.0931 205.7 -21.6214 439.348
 16000 14985.7 -815.328 -1443.67 -1024.33 169.19 32.7927 -14.4427 232.736 -23.9684 499.17
 18000 16674.6 -909.246 -1616.64 -1146.81 189.31 36.8183 -17.1897 260.183 -26.0672 557.9
 20000 18324.6 -1003.1 -1786.07 -1264.79 209.577 40.7073 -19.9258 287.239 -28.5316 616.814
 20000 18077.4 -993.133 -1757.31 -1245.38 207.621 38.0592 -15.4945 286.457 -33.2843 612.711
 40000 34097.3 -1916.64 -3373.48 -2450.6 405.643 75.223 -39.3879 546.707 -59.1667 1208.23
 60000 50130.9 -2861.52 -4968.84 -3651.78 609.384 112.633 -63.1088 803.702 -86.0614 1796.33
 80000 66067.9 -3813.11 -6568.36 -4814.97 817.295 151.127 -93.5438 1063.57 -118.657 2392.8
 100000 82126 -4728.97 -8206.95 -5994.16 1022 185.635 -123.576 1330.1 -144.003 2981.9
 120000 98514.2 -5692.33 -9848.06 -7208.68 1231.74 227.264 -156.741 1587.67 -162.782 3571.68
 140000 114937 -6685.52 -11489.1 -8383.34 1445.97 268.761 -186.913 1846.89 -185.284 4152.45
 160000 131505 -7696.33 -13152.9 -9576.38 1655.3 314.218 -210.171 2110.38 -210.477 4740.53
 180000 147841 -8661.77 -14785 -10822.8 1862.08 352.578 -230.82 2370.16 -229.111 5333.01
 200000 163672 -9618.38 -16330.5 -12078.5 2071.2 389.309 -253.868 2613.74 -243.12 5914.19
 200000 166021 -9475.68 -16715.5 -12194.4 1977.89 423.991 -264.833 2643.47 -223.888 5913.96
 400000 332757 -19054.5 -33297.9 -25538.5 3954.15 770.815 -272.257 5282.07 -351.184 11755.4
 600000 471319 -25654 -48486.5 -35001.3 5863.11 814.38 -691.73 7948.54 -660.117 17025.5
 800000 590570 -31012.2 -62448 -41463.6 7631.78 727.745 -1071.91 10589.2 -1220.07 21612.7
 1e+06 724065 -38108.4 -78009.5 -47337.7 9463.5 841.686 -1338.63 13437.2 -1914.58 26135.5
 1.2e+06 850322 -43557.5 -93023.7 -54343.3 11048.3 810.081 -1493.83 16207.4 -2392.65 30385
 1.4e+06 962385 -48213.7 -105634 -62626.5 12430 680.426 -1428.21 18526.9 -2605.25 34177.8
 1.6e+06 1.0673e+06 -51957.8 -117947 -70008.7 13597.8 609.224 -1531.54 20727.2 -2770.83 37755.8
 1.8e+06 1.19386e+06 -57681.5 -132613 -77017.7 15077.4 676.322 -1697.71 23260.8 -3037.11 41516.2
 2e+06 1.331e+06 -63760.1 -148028 -86265.8 16531.8 690.045 -1515.62 25866 -3046.07 44983.1
 2e+06 1.31705e+06 -63065.4 -157481 -59541.7 17089.5 189.484 -1341.5 28768.4 -5165.16 38440.1
 4e+06 2.8059e+06 -146055 -319302 -146176 28807.7 4628.67 3228.97 55514.4 -10555.3 79657.8
 6e+06 4.03169e+06 -200520 -430543 -292836 35655.8 8212.69 5964.29 69654.3 -4762.77 121205
 8e+06 5.47245e+06 -255333 -568084 -462018 41094.4 10764.9 13601.4 88725.9 1100.54 164367
 1e+07 7.39817e+06 -350734 -764339 -627554 52594.8 16240.4 21683.6 119948 -2265.95 226835
 1.2e+07 9.35297e+06 -470240 -965727 -753617 64994.3 26456.2 26557.7 149589 -7754.06 284520
 1.4e+07 1.19698e+07 -651466 -1.22276e+06 -917986 79628.7 43514.1 36579 183200 -10612.5 342588
 1.6e+07 1.47316e+07 -838754 -1.47588e+06 -1.14086e+06 102499 53400.6 53308.5 217895 -6675.9 398243
 1.8e+07 1.68444e+07 -986151 -1.63689e+06 -1.38522e+06 122276 53254.2 82795.4 245015 -5902.28 449930
 2e+07 1.94336e+07 -1.17114e+06 -1.83955e+06 -1.66721e+06 145841 57101.2 112294 275010 -1265.91 508169
 2e+07 1.56423e+07 -1.59023e+06 -1.37186e+06 -606136 185621 104899 108097 195042 -73397.3 256202
 4e+07 4.2591e+07 -4.84388e+06 -3.04884e+06 -2.51761e+06 577290 279617 407243 431241 -229982 952198
