#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__water_water	MSD__water_Na	MSD__water_Cl	MSD__water_COO	MSD__Na_Na	MSD__Na_Cl	MSD__Na_COO	MSD__Cl_Cl	MSD__Cl_COO	MSD__COO_COO	
 2000 2668.02 -154.398 -198.22 -187.44 34.2589 0.586646 8.56467 35.6481 -5.52097 80.0387
 4000 4497.58 -248.123 -367.556 -311.007 54.6772 4.12577 6.00931 63.5376 -8.87965 142.996
 6000 6217.4 -340.188 -537.787 -429.438 74.5358 8.02796 3.20414 91.1678 -12.361 204.454
 8000 7878.31 -430.809 -706.903 -543.674 94.315 11.9255 -0.206934 118.556 -15.8316 265.204
 10000 9522.02 -521.813 -875.904 -657.005 114.14 15.6707 -3.44295 146.092 -19.5175 326.136
 12000 11144.1 -612.796 -1044.86 -769.38 134.298 19.4455 -6.59998 173.832 -23.3675 386.737
 14000 12739.6 -702.33 -1210.8 -879.319 154.411 23.0392 -10.0108 201.187 -27.3555 447.235
 16000 14305 -791.062 -1374.25 -984.16 174.101 26.9533 -13.9168 227.996 -31.4545 506.546
 18000 15878.8 -882.082 -1537.09 -1092.56 193.902 31.0121 -17.1509 254.695 -35.7999 566.623
 20000 17439.4 -971.231 -1700.04 -1199.6 213.578 34.8935 -20.4528 281.638 -40.3335 626.63
 20000 17251.3 -959.766 -1695.59 -1179.27 211.495 35.4269 -22.0387 282.659 -43.2739 627.27
 40000 33330.2 -1880.06 -3372.14 -2267.48 406.299 75.1705 -48.3946 560.009 -87.6708 1217.62
 60000 49145.9 -2793.07 -5043.47 -3276.82 601.6 116.676 -79.7159 837.536 -136.491 1795.03
 80000 64388.5 -3707.51 -6636.29 -4227.15 800.074 154.52 -109.043 1107.27 -195.375 2369.5
 100000 79622.4 -4612.12 -8210.95 -5240.97 997.043 192.919 -139.148 1369.5 -244.544 2948.46
 120000 95482.6 -5592.57 -9810.89 -6314.15 1206.45 233.755 -163.129 1629.5 -286.195 3529.68
 140000 111843 -6565.88 -11447.9 -7525.76 1410.69 270.305 -175.711 1895.85 -317.125 4121.14
 160000 128064 -7507.08 -13070.6 -8765.23 1610.93 304.1 -186.091 2161.23 -349.585 4728.16
 180000 144664 -8453.94 -14758.9 -10002 1810.64 341.13 -200.961 2433.82 -374.325 5316.74
 200000 160878 -9342.86 -16399 -11256.4 2006.81 371.353 -217.123 2701.4 -400.265 5914.51
 200000 163742 -9402.76 -16866.3 -11031.8 2016.79 396.558 -270.866 2778.03 -444.901 5965.26
 400000 332175 -17882.2 -33834.6 -25909.6 3956.07 614.253 -361.473 5533.77 -467.338 12258
 600000 514967 -26501.6 -53127 -40546.5 5823.86 925.013 -514.632 8631.8 -538.914 18637
 800000 696420 -34345.5 -73103.5 -54248 7561.13 1187.74 -665.287 11910.3 -694.296 24855.6
 1e+06 877005 -43674.3 -92109.9 -67780.2 9366.76 1585.67 -616.007 14937.7 -837.59 30656
 1.2e+06 1.05999e+06 -54028.8 -110925 -81099.7 11329.5 1982.86 -395.133 18000.3 -1160.49 36559.8
 1.4e+06 1.24259e+06 -65162.1 -128891 -94829.1 13276.8 2416.38 64.4303 20874.1 -1446.5 42127.9
 1.6e+06 1.41562e+06 -75352.3 -145750 -108958 15175.1 2830.33 267.178 23531.3 -1594.16 47889.1
 1.8e+06 1.59155e+06 -85651.1 -163058 -122834 17130.7 3319.8 235.592 26063.6 -1407.11 53125.1
 2e+06 1.76188e+06 -94904.3 -180424 -135755 18875.5 3778.26 152.309 28691.4 -1393.73 58484.2
 2e+06 1.93982e+06 -111680 -194554 -149819 20008.2 5675.66 666.555 29281.9 170.27 59928.5
 4e+06 3.55704e+06 -206310 -344506 -300690 36907.6 10169.1 1912.83 53077.4 -2935.31 127148
 6e+06 4.53485e+06 -297253 -409590 -403449 55212.9 10671.1 9578.93 64748.9 -5096.78 162328
 8e+06 5.86833e+06 -389603 -532056 -508052 73196.1 11872.4 16220.3 84221.4 -3917.53 191825
 1e+07 7.63442e+06 -487235 -701756 -666949 90886.9 14294.1 22573 107408 5685.5 223473
 1.2e+07 9.48463e+06 -605830 -913144 -729104 112002 20886.2 22259.8 137048 10106.2 239430
 1.4e+07 1.14914e+07 -773607 -1.1139e+06 -802551 139376 27630.4 31827.8 164211 15983.2 240382
 1.6e+07 1.40217e+07 -964210 -1.33821e+06 -999431 169790 34352.3 46199.9 190244 34716.2 252716
 1.8e+07 1.66799e+07 -1.15826e+06 -1.55583e+06 -1.25728e+06 197407 42512.8 62696.7 217597 44706.9 308533
 2e+07 1.94279e+07 -1.35758e+06 -1.78041e+06 -1.5279e+06 230985 47741.6 79195.8 247808 55441.5 367563
 2e+07 1.85342e+07 -1.26269e+06 -1.8123e+06 -1.22146e+06 146156 72884.1 111245 272651 -32073.8 403105
 4e+07 5.10553e+07 -4.50582e+06 -3.81422e+06 -4.60514e+06 602428 173041 480013 473684 144563 782807
 6e+07 6.0517e+07 -6.59989e+06 -2.58508e+06 -8.21548e+06 996464 93335.1 918189 331630 111453 1.6602e+06
