#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__water	MSD__Cl	MSD__COO	MSD__Na	
 2000 8100.05 27.6705 41.8408 21.6974
 4000 13637 47.6438 70.8902 37.1382
 6000 18858.6 66.5561 98.3033 51.7966
 8000 24126.5 85.6266 125.81 66.5729
 10000 29392.4 104.624 153.141 81.337
 12000 34608.5 123.364 180.333 95.8958
 14000 39843.7 142.174 207.712 110.44
 16000 45051.3 160.862 234.914 124.896
 18000 50264 179.515 262.134 139.336
 20000 55504.2 198.274 289.186 153.806
 20000 55465 198.133 289.319 153.763
 40000 107680 385.69 554.701 297.224
 60000 160035 573.395 824.884 442.545
 80000 212245 760.59 1093.23 587.769
 100000 264391 948.472 1358.26 732.314
 120000 316411 1136.58 1623.4 876.762
 140000 368692 1324.8 1890.04 1022.1
 160000 420688 1511.24 2154.8 1166.49
 180000 473090 1696.98 2421.17 1312.38
 200000 525149 1881.98 2690.32 1456.5
 200000 524881 1886.79 2688.45 1450.6
 400000 1.04779e+06 3737.42 5460.45 2879.96
 600000 1.56914e+06 5554.55 8156.16 4304.92
 800000 2.09169e+06 7405.79 10777.5 5707.16
 1e+06 2.61281e+06 9295.29 13461.9 7110.76
 1.2e+06 3.13162e+06 11157.6 16111.5 8484.93
 1.4e+06 3.6511e+06 13037.4 18797.3 9857.09
 1.6e+06 4.1704e+06 14909.8 21430.4 11178.3
 1.8e+06 4.69046e+06 16747.2 24063.2 12481
 2e+06 5.21024e+06 18532.6 26682 13789.3
 2e+06 5.19188e+06 19236.7 27902.1 13854.5
 4e+06 1.04195e+07 36144.7 56286.6 27280
 6e+06 1.56529e+07 53083.6 81569.9 39971.7
 8e+06 2.09063e+07 72464.2 106187 51843.6
 1e+07 2.61686e+07 90466.4 126016 62539.9
 1.2e+07 3.14257e+07 108880 143222 72985.4
 1.4e+07 3.6725e+07 126010 162408 84329
 1.6e+07 4.20376e+07 144520 181342 95774
 1.8e+07 4.74042e+07 161462 195231 108714
 2e+07 5.27174e+07 177605 213344 123004
 2e+07 5.25832e+07 178775 261876 123835
 4e+07 1.0556e+08 333156 397464 281008
 6e+07 1.55942e+08 538557 717675 447632
