#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__water	MSD__Na	MSD__Cl	MSD__COO	
 2000 7261.64 39.0743 49.4174 32.4362
 4000 12097.5 66.2689 83.5548 53.9137
 6000 16723.7 92.3949 116.32 74.306
 8000 21350.4 118.452 149.007 94.5385
 10000 25937.9 144.229 181.258 114.633
 12000 30536.6 169.959 213.511 134.728
 14000 35099.3 195.491 245.487 154.806
 16000 39689.6 221.155 277.561 174.911
 18000 44300.6 246.906 309.745 194.925
 20000 48888.1 272.453 341.664 214.844
 20000 48877.5 272.192 341.051 214.587
 40000 94733.9 526.611 659.521 414.274
 60000 140533 779.223 977.997 610.343
 80000 186161 1029.31 1294.83 809.112
 100000 232041 1280.07 1613.3 1006.17
 120000 277835 1530.66 1932.53 1198.82
 140000 323629 1780.2 2252.96 1393.14
 160000 369284 2028.99 2574.08 1587.81
 180000 415162 2279.72 2896.46 1783.69
 200000 460733 2526.97 3215.49 1977.09
 200000 460462 2507.62 3195.5 1970.64
 400000 918465 4977.1 6389.92 3879.9
 600000 1.3756e+06 7435.97 9604.27 5815.8
 800000 1.83459e+06 9865.38 12817.4 7703.56
 1e+06 2.29128e+06 12284.9 16001.2 9624.33
 1.2e+06 2.74832e+06 14712.7 19237.7 11483.9
 1.4e+06 3.20564e+06 17145.1 22432.9 13356.8
 1.6e+06 3.66261e+06 19516.6 25579.8 15225.4
 1.8e+06 4.12072e+06 21906.7 28702.9 17094.6
 2e+06 4.5796e+06 24283.8 31784.9 18949.1
 2e+06 4.56825e+06 24467.8 32086.2 18840.3
 4e+06 9.18366e+06 47389.1 63241.9 39127.5
 6e+06 1.37749e+07 70931.3 95397.1 60610.7
 8e+06 1.83561e+07 95989.6 128772 82802.5
 1e+07 2.29119e+07 120657 158861 103103
 1.2e+07 2.74743e+07 145256 190812 124652
 1.4e+07 3.19648e+07 171027 223872 143144
 1.6e+07 3.64511e+07 195849 256009 165375
 1.8e+07 4.09927e+07 221763 290020 187070
 2e+07 4.55253e+07 248610 326487 209677
 2e+07 4.55752e+07 254441 333094 160787
 4e+07 8.99464e+07 514412 682925 316425
 6e+07 1.33576e+08 742235 987660 391267
