#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__water_water	MSD__water_Na	MSD__water_Cl	MSD__water_COO	MSD__Na_Na	MSD__Na_Cl	MSD__Na_COO	MSD__Cl_Cl	MSD__Cl_COO	MSD__COO_COO	
 2000 2966.52 -131.069 -241.173 -205.436 26.1836 5.3564 -3.64327 35.923 2.43395 81.7096
 4000 4863.88 -225.873 -418.744 -335.293 46.5566 9.23727 -6.72743 64.3384 0.374448 145.141
 6000 6645.45 -318.666 -595.296 -461.153 66.1932 13.2924 -9.39026 92.4538 -2.0974 207.19
 8000 8356.99 -410.35 -770.409 -580.303 85.7363 17.4198 -12.3734 120.321 -4.7677 267.755
 10000 10058.2 -502.72 -946.591 -701.308 105.253 21.6842 -15.2583 148.243 -7.20151 328.353
 12000 11761 -593.693 -1120.85 -827.152 124.594 25.8222 -18.0934 175.87 -9.5764 390.015
 14000 13446.2 -684.074 -1295.13 -950 144.017 29.8208 -21.0984 203.473 -11.7232 450.259
 16000 15133.2 -775.146 -1469.28 -1073 163.508 33.9287 -24.3525 231.257 -13.9434 510.496
 18000 16805.6 -866.189 -1641.12 -1195.8 183.221 37.9315 -27.7024 258.609 -16.1919 570.85
 20000 18434.2 -955.027 -1810.06 -1314.95 202.328 41.8898 -30.5791 285.707 -18.922 630.262
 20000 18157.4 -936.479 -1783.86 -1326.34 201.275 39.1229 -29.9797 285.288 -18.7177 631.116
 40000 34966.6 -1853.65 -3523.83 -2561.31 391.452 78.292 -48.1568 565.405 -43.2546 1221.57
 60000 52399.9 -2751.07 -5369.34 -3810.25 576.262 117.176 -63.8094 860.637 -63.6337 1801.94
 80000 69182.2 -3626.85 -7177.62 -4947.43 762.947 153.112 -85.1625 1158.33 -96.894 2382.25
 100000 85621.3 -4497.19 -8937.01 -6049.96 954.948 188.199 -112.691 1449.57 -138.237 2972.84
 120000 101668 -5364.12 -10638.5 -7136.42 1145.97 222.089 -139.838 1731.88 -179.652 3566.17
 140000 117342 -6211.7 -12325.1 -8208.23 1336.49 256.04 -169.191 2017.12 -226.679 4168.43
 160000 134068 -7123.69 -14074.2 -9378.39 1532.01 293.517 -193.776 2303.37 -264.96 4780.47
 180000 150550 -7996.27 -15829.8 -10507.9 1724.9 328.298 -222.994 2594.14 -302.229 5372.14
 200000 167008 -8912.89 -17559 -11611.6 1924.14 365.276 -249.537 2880.26 -346.169 5970.59
 200000 166805 -8766.61 -17435.6 -11961.4 1945.11 274.11 -123.671 2911.24 -327.794 5821.24
 400000 337070 -18104.4 -35253.4 -23758.1 3987.23 636.137 -383.636 5791.43 -560.02 11559.8
 600000 495514 -27048.1 -51846.4 -34493.5 6184.66 837.001 -643.652 8619.79 -891.909 17076.3
 800000 674009 -36263.9 -72041.1 -44652 8339.63 1053.41 -775.523 12000.7 -1097.08 21991.3
 1e+06 833408 -45918.5 -88941.6 -54168.8 10444.5 1367.08 -864.203 14775.3 -1343.51 26621.5
 1.2e+06 1.00747e+06 -53297.1 -107881 -67965.3 12359.8 1420.16 -944.913 17892.1 -1244.69 32151.3
 1.4e+06 1.19009e+06 -59800.9 -128469 -82364 14111.6 1302.93 -803.042 21371.4 -1083.32 37462.4
 1.6e+06 1.37751e+06 -66467.8 -149108 -98723.6 16078.2 1173.28 -829.717 24735 -577.031 42979.1
 1.8e+06 1.56766e+06 -73130.9 -169767 -116360 18135 919.447 -721.049 28118.8 111.695 48415
 2e+06 1.75139e+06 -79713.5 -190805 -130000 20359.7 522.93 -584.237 31764.4 490.088 52864.3
 2e+06 1.86461e+06 -83713.7 -188872 -174866 17905.8 1034.16 3745.91 29365.7 4613.36 54571.6
 4e+06 3.99971e+06 -141783 -474196 -266300 34515.1 -401.618 5012.69 77852.5 6094.46 86488.8
 6e+06 6.39295e+06 -199647 -780859 -412469 47256.4 -1136.77 10432.5 124161 20452.4 103546
 8e+06 8.95049e+06 -234291 -1.13997e+06 -537185 52566.7 -1139.05 16576.5 179655 33183.1 114140
 1e+07 1.16041e+07 -311019 -1.50704e+06 -616413 69476.1 580.257 17617 238686 38102.1 132679
 1.2e+07 1.38554e+07 -383576 -1.84108e+06 -620281 89180.7 -202.415 18319.6 297583 34152.3 143064
 1.4e+07 1.64898e+07 -440572 -2.22398e+06 -686051 102199 -513.54 21626.1 360806 39064.4 153196
 1.6e+07 1.87577e+07 -506989 -2.53953e+06 -742005 117556 -998.755 25655.1 414160 39522.8 168014
 1.8e+07 2.05635e+07 -608879 -2.77579e+06 -751721 135672 4906.28 25142.1 451571 36428.3 180418
 2e+07 2.22283e+07 -696674 -2.94921e+06 -872427 154801 5925.51 28733.5 477274 43159.9 207428
 2e+07 2.34343e+07 -872511 -3.24175e+06 -388807 95184.9 96078.7 -22445.8 485334 1916.42 190018
 4e+07 2.19744e+07 -1.67697e+06 -1.74462e+06 -2.16969e+06 265439 139844 -64159.2 163914 99453.7 749508
