#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__water_water	MSD__water_Na	MSD__water_Cl	MSD__water_COO	MSD__Na_Na	MSD__Na_Cl	MSD__Na_COO	MSD__Cl_Cl	MSD__Cl_COO	MSD__COO_COO	
 2000 2721.27 -165.869 -224.205 -98.067 31.5237 8.87476 -8.20406 36.0742 -9.26207 75.8958
 4000 4581.06 -261.265 -398.462 -221.483 52.2961 12.7621 -11.3495 64.467 -12.278 139.263
 6000 6334.61 -351.694 -572.814 -344.916 72.0843 16.4159 -14.1524 92.4458 -14.8233 200.621
 8000 8036.01 -442.407 -745.894 -467.14 91.8975 20.1475 -17.0056 120.12 -17.265 261.836
 10000 9743.37 -535.598 -918.946 -591.074 111.977 23.8989 -19.6079 147.866 -19.8032 322.905
 12000 11442.2 -627.39 -1093.45 -714.253 132.095 27.5446 -22.5167 175.818 -22.181 383.942
 14000 13132.2 -718.398 -1266.48 -840.083 152.21 30.992 -25.1704 203.743 -24.6607 445.438
 16000 14790.6 -810.778 -1436.01 -962.736 172.678 34.3987 -27.8468 231.515 -27.7414 507.298
 18000 16426.7 -902.498 -1603.84 -1080.51 193.351 37.6362 -30.4661 259.222 -31.2195 567.823
 20000 18050.1 -994.808 -1769.36 -1197.3 213.862 40.7916 -32.8466 286.559 -34.7009 627.808
 20000 17837.2 -997.6 -1742.81 -1182.22 213.691 40.5572 -30.5558 285.135 -39.0248 626.367
 40000 34597.3 -1994.75 -3442.55 -2346.72 424.029 82.1362 -56.2056 562.278 -79.7981 1242.13
 60000 51338.4 -2978.14 -5156.21 -3514.92 633.272 123.514 -83.2256 846.387 -128.27 1877.94
 80000 68142.1 -3991.88 -6881.86 -4634.43 846.821 169.607 -120.334 1135.52 -190.703 2548.16
 100000 85324.9 -4975.18 -8666.54 -5806.68 1056.65 214.005 -152.962 1431.94 -247.782 3218.65
 120000 102136 -6017.21 -10403.9 -6885.21 1272.18 264.814 -184.564 1720.79 -311.857 3864.73
 140000 119816 -7116.83 -12198.3 -8047.14 1493.91 317.049 -210.17 2012.19 -364.759 4507.71
 160000 137586 -8205.69 -14010.4 -9241.64 1715.55 368.181 -236.482 2312.52 -426.909 5189.26
 180000 156009 -9304.88 -15864.3 -10546 1937.16 416.745 -254.475 2614.38 -474.202 5856.97
 200000 173998 -10325.3 -17690.6 -11894.5 2154.12 455.861 -271.072 2915.3 -516.077 6535.17
 200000 170754 -10236.7 -17070.3 -12331 2085.12 493.83 -276.804 2782.16 -490.74 6632.65
 400000 351721 -20681.5 -34387.4 -28309 4326.22 861.133 -407.152 5574.69 -692.66 13850.8
 600000 524973 -31132.6 -51692.8 -40716.5 6523.37 1255.39 -554.496 8566.98 -1457.7 20924.8
 800000 676081 -40535.7 -66928 -51004 8798.92 1533.04 -941.398 11315.1 -2309.83 27826.3
 1e+06 829029 -51234.1 -80578.3 -63861.3 11370.6 1918.37 -1534.99 13686.5 -3054.45 35831.7
 1.2e+06 974191 -61368 -93864.5 -75492.2 13972 2166.76 -2047.54 16101.5 -3825.95 43281.3
 1.4e+06 1.10497e+06 -70267.7 -106586 -84666.4 16502.3 2405.99 -2955.36 18432.8 -4577.93 50315.5
 1.6e+06 1.24561e+06 -80079.8 -120489 -93747.2 19170.1 2791.19 -4014.58 20846.7 -5294.65 57484.1
 1.8e+06 1.38409e+06 -90688.8 -134086 -100830 21972.3 3269.67 -5217.57 23221.5 -6241.47 64572.9
 2e+06 1.52442e+06 -102832 -147879 -105865 25061.1 3824.92 -6420.55 25698.6 -7468.82 71494.3
 2e+06 1.62979e+06 -105006 -162270 -112344 23871.8 4631.38 -5566.27 28386.1 -8955.41 76012
 4e+06 2.99623e+06 -253970 -292952 -121173 59515.9 10161.5 -14081.4 54437.4 -27183.1 137152
 6e+06 3.7958e+06 -392271 -344488 -104004 96713 14483.3 -26770.7 68192.2 -46343 196491
 8e+06 4.90273e+06 -593485 -420653 -56644.7 146500 22547.2 -42026.4 85070.6 -68827.9 255653
 1e+07 6.15695e+06 -845130 -528992 86487.3 207060 35709 -65613.9 111674 -109214 330865
 1.2e+07 7.23327e+06 -1.09912e+06 -641497 311639 273394 52282.2 -105410 136780 -149546 399236
 1.4e+07 8.55305e+06 -1.33987e+06 -758785 435078 335626 71176.2 -150267 151915 -168333 465004
 1.6e+07 1.00922e+07 -1.64493e+06 -917576 666456 410982 94475 -199908 177741 -202214 530200
 1.8e+07 1.24548e+07 -2.03634e+06 -1.10331e+06 756274 496477 120534 -236432 207946 -239410 640971
 2e+07 1.46115e+07 -2.44678e+06 -1.29624e+06 984697 586584 152043 -285746 237246 -280781 724300
 2e+07 1.97274e+07 -2.83538e+06 -2.15965e+06 1.54793e+06 579549 231082 -299134 333652 -280810 510479
 4e+07 2.84668e+07 -5.14755e+06 -3.61138e+06 5.12377e+06 990851 606893 -908117 543808 -785386 1.22063e+06
