#NOTE: MSDs should be divided by the number of molecules of species i (N_i).
#NOTE: MSDs have been divided by the factor 6 (or 2, i.e., MSD_x, MSD_y, and MSD_z).
#Time	MSD__water	MSD__Cl	MSD__COO	MSD__Na	
 2000 8040.94 27.9969 45.2685 20.5557
 4000 13613.2 48.1352 74.7945 35.9354
 6000 18895.5 67.2177 102.48 50.663
 8000 24133.2 86.0975 129.785 65.2304
 10000 29370.4 104.947 157.089 79.7503
 12000 34568.1 123.598 184.085 94.104
 14000 39842 142.417 211.296 108.624
 16000 45090.6 161.129 238.365 123.089
 18000 50318.8 179.757 265.264 137.468
 20000 55529.4 198.275 291.898 151.852
 20000 55404.7 197.845 288.8 151.596
 40000 107797 384.262 556.674 295.261
 60000 160317 571.898 826.452 438.743
 80000 212596 758.473 1089.29 581.756
 100000 264888 945.851 1358.77 724.702
 120000 317180 1133.62 1627.77 867.488
 140000 369414 1320.14 1898.89 1011.68
 160000 421817 1506.85 2169.74 1156.37
 180000 474105 1691.74 2436.61 1301.29
 200000 526544 1877.99 2705.36 1445.27
 200000 526578 1867.25 2705.07 1450.57
 400000 1.05087e+06 3715 5411.51 2870.08
 600000 1.57621e+06 5514.2 8070.23 4254.98
 800000 2.10266e+06 7352.29 10695.4 5659.19
 1e+06 2.63137e+06 9172.79 13405.1 7053.23
 1.2e+06 3.15796e+06 10955.6 16111.7 8439.17
 1.4e+06 3.68445e+06 12741.6 18799 9848.79
 1.6e+06 4.21086e+06 14517 21621.2 11233
 1.8e+06 4.73711e+06 16293.2 24390.8 12616.9
 2e+06 5.26341e+06 18022.1 27202 14010.3
 2e+06 5.25403e+06 18409.1 26909.4 13685.8
 4e+06 1.05246e+07 35989.2 53820 27814.8
 6e+06 1.57311e+07 53400.2 78666.2 42148.2
 8e+06 2.09714e+07 70417.2 108879 56599.2
 1e+07 2.61762e+07 89024.4 139198 69811.5
 1.2e+07 3.13652e+07 108930 167870 81485.4
 1.4e+07 3.65975e+07 128120 200568 91906.6
 1.6e+07 4.18048e+07 147917 236698 105928
 1.8e+07 4.69551e+07 167228 264368 119511
 2e+07 5.2151e+07 186865 291934 134741
 2e+07 5.23046e+07 182497 291424 128015
 4e+07 1.05358e+08 355725 507389 264072
 6e+07 1.58366e+08 576797 714994 422508
