#NOTE: MSDs should be divided by the total number of molecules (N).
#Time	MSD__water_water	MSD__water_Na	MSD__water_Cl	MSD__water_COO	MSD__Na_Na	MSD__Na_Cl	MSD__Na_COO	MSD__Cl_Cl	MSD__Cl_COO	MSD__COO_COO	
 2000 2772.12 -141.793 -229.887 -148.159 27.7774 5.7709 -1.62122 36.3421 -3.72412 72.9417
 4000 4629.94 -236.996 -402.217 -275.406 48.2498 9.51699 -4.02406 64.3193 -6.3262 135.05
 6000 6365.69 -329.132 -572.981 -399.083 68.3602 13.1783 -6.59574 91.8861 -9.0248 196.16
 8000 8053.38 -420.686 -743.796 -518.921 88.5198 16.8027 -9.41498 119.423 -11.7538 256.778
 10000 9737.35 -513.828 -915.108 -641.566 108.798 20.4871 -11.8787 147.127 -14.403 317.201
 12000 11404.3 -606.108 -1085.86 -764.758 128.956 24.1566 -14.3741 174.616 -16.8098 377.47
 14000 13062 -698.606 -1255.95 -887.252 149.089 27.8963 -16.8223 202.015 -19.2199 437.351
 16000 14715.2 -790.695 -1425.15 -1010.4 169.256 31.4857 -19.2285 229.321 -21.61 497.206
 18000 16355.8 -883.511 -1592.18 -1130.61 189.397 35.0648 -21.5822 256.306 -24.1747 556.376
 20000 18024.4 -977.054 -1762.63 -1253.31 209.507 38.6776 -23.6112 283.808 -26.6833 615.799
 20000 18086.2 -953.221 -1773.63 -1276.86 205.558 38.1402 -26.4787 286.2 -25.88 623.434
 40000 34504.1 -1874.37 -3450.13 -2487.23 402.777 71.9124 -42.7166 559.07 -52.8303 1210.5
 60000 51182.1 -2816.98 -5156.66 -3695.83 600.092 109.185 -56.9317 833.111 -77.5134 1787.25
 80000 67685.6 -3752.16 -6884.11 -4825.03 794.3 147.281 -71.2501 1114.26 -106.536 2341.12
 100000 84281.7 -4694.58 -8587.56 -6036.76 990.338 183.748 -81.0856 1388.11 -126.428 2901.74
 120000 100795 -5651.58 -10261.8 -7266.17 1189.13 221.604 -91.283 1654.68 -143.176 3463.13
 140000 117323 -6614.11 -11922 -8513.58 1392.08 260.336 -108.987 1917.37 -158.321 4037.61
 160000 133927 -7541.15 -13583.2 -9823.07 1588.3 295.811 -123.423 2180.28 -171.308 4626.84
 180000 150276 -8502.94 -15206.7 -11103.1 1790.05 333.286 -136.347 2438.39 -187.181 5210
 200000 166596 -9447.22 -16834 -12386.3 1990.72 369.426 -149.214 2695.27 -197.879 5781.99
 200000 158742 -8950.08 -15828.8 -12388.5 1939.92 318.021 -154.815 2562.33 -186.361 5721.91
 400000 326015 -19101.7 -32185.4 -25310.8 3999.66 716.715 -207.932 5115.22 -283.73 11313.8
 600000 499961 -29471.2 -50045.7 -37011.2 6107.19 1219.25 -488.846 7889.25 -458.963 16932
 800000 668574 -38918.2 -67825.9 -48201.3 8234.24 1602.07 -868.813 10640.2 -442.243 22052.5
 1e+06 826203 -48243.8 -83552.6 -60249.8 10415.8 1964.87 -1345.43 13099.2 -496.101 27873.9
 1.2e+06 985631 -57954.5 -99536.3 -71802.3 12533.8 2400.4 -1747.54 15503.4 -419.102 33048.4
 1.4e+06 1.15026e+06 -67253.5 -116683 -83332.9 14490.8 2926.41 -2257.34 18080.2 -431.94 38580.5
 1.6e+06 1.32773e+06 -77730.2 -134985 -95202.7 16431.1 3590.62 -2614.41 20687.7 -298.6 43657.9
 1.8e+06 1.50079e+06 -87277.5 -152732 -108324 18260.6 4190.55 -3006.4 23268.3 -189.236 49354.6
 2e+06 1.66928e+06 -96077.2 -169425 -123256 20079.8 4611.08 -3267.36 25717.4 72.1884 55259.2
 2e+06 1.52417e+06 -99902.8 -149728 -105712 20289.2 5448.07 -3931.98 21820.5 163.354 48696.2
 4e+06 2.67658e+06 -155876 -253217 -238118 35782.1 4930.29 -4238.24 40006.2 -613.943 104934
 6e+06 3.57959e+06 -214221 -324193 -345244 53407.7 5813.7 -10041.1 52476.1 -3116.92 164098
 8e+06 4.39416e+06 -270178 -365403 -491608 71684.7 4667.85 -13021.8 58541.7 808.363 219477
 1e+07 5.27336e+06 -327718 -419010 -631953 87788.3 4868.48 -15202.3 67562.2 677.457 280658
 1.2e+07 6.0906e+06 -375985 -472967 -760471 102189 5472.31 -19344.8 76277.5 680.466 339752
 1.4e+07 6.89923e+06 -406226 -548660 -860729 109555 6435.41 -20761.6 88734 -184.083 385370
 1.6e+07 8.03843e+06 -456975 -658982 -979463 115232 12557.1 -23583.5 101968 3124.34 430340
 1.8e+07 8.78134e+06 -495075 -738710 -1.0319e+06 122050 17100.7 -29441.8 113967 -357.74 469349
 2e+07 9.87514e+06 -559378 -855725 -1.09735e+06 126743 25872.4 -31730.6 128591 -1201.4 501541
 2e+07 8.43325e+06 -610596 -552600 -1.16283e+06 162084 -3857.26 5913.04 95517.8 840.619 466403
 4e+07 1.99673e+07 -869714 -2.15931e+06 -1.59622e+06 184092 102833 -181687 283070 39260.6 844618
 6e+07 2.90486e+07 -2.23586e+06 -3.51201e+06 74403 315639 236342 -149474 541572 -238929 783936
 8e+07 4.07885e+07 -2.26959e+06 -6.08543e+06 1.52503e+06 251672 302532 -196628 931430 -227285 234233
 1e+08 7.78035e+07 -3.17209e+06 -1.07979e+07 -810514 150183 431229 21066.4 1.59949e+06 -120143 598127
